order	variable	x	y
1	scotland	659	541.124
1	wales	546.5	1515.419
1	london	1021.5	1298.909
1	south.west	646.5	1775.231
1	south.east	646.5	1775.231
1	east.england	1146.5	1169.003
1	west.midlands	571.5	1039.097
1	east.midlands	1134	1017.446
1	north.west	496.5	1039.097
1	north.east	734	454.52
1	yorkshire.humber	1021.5	649.379
2	scotland	684	541.124
2	wales	571.5	1515.419
2	london	1034	1320.56
2	south.west	659	1753.58
2	south.east	659	1753.58
2	east.england	1134	1190.654
2	west.midlands	584	1017.446
2	east.midlands	1109	1017.446
2	north.west	509	1017.446
2	north.east	721.5	476.171
2	yorkshire.humber	996.5	649.379
3	scotland	696.5	519.473
3	wales	584	1493.768
3	london	1059	1320.56
3	south.west	646.5	1731.929
3	south.east	646.5	1731.929
3	east.england	1109	1190.654
3	west.midlands	609	1017.446
3	east.midlands	1096.5	995.795
3	north.west	534	1017.446
3	north.east	734	497.822
3	yorkshire.humber	984	671.03
4	scotland	721.5	519.473
4	wales	571.5	1472.117
4	london	1071.5	1342.211
4	south.west	659	1710.278
4	south.east	659	1710.278
4	east.england	1096.5	1212.305
4	west.midlands	621.5	995.795
4	east.midlands	1071.5	995.795
4	north.west	546.5	1039.097
4	north.east	721.5	519.473
4	yorkshire.humber	959	671.03
5	scotland	734	497.822
5	wales	584	1450.466
5	london	1096.5	1342.211
5	south.west	646.5	1688.627
5	south.east	646.5	1688.627
5	east.england	1071.5	1212.305
5	west.midlands	646.5	995.795
5	east.midlands	1059	974.144
5	north.west	571.5	1039.097
5	north.east	734	541.124
5	yorkshire.humber	946.5	649.379
6	scotland	721.5	476.171
6	wales	609	1450.466
6	london	1109	1363.862
6	south.west	659	1666.976
6	south.east	659	1666.976
6	east.england	1059	1190.654
6	west.midlands	659	974.144
6	east.midlands	1034	974.144
6	north.west	584	1017.446
6	north.east	721.5	562.775
6	yorkshire.humber	921.5	649.379
7	scotland	734	454.52
7	wales	621.5	1428.815
7	london	1134	1363.862
7	south.west	646.5	1645.325
7	south.east	646.5	1645.325
7	east.england	1034	1190.654
7	west.midlands	684	974.144
7	east.midlands	1021.5	952.493
7	north.west	609	1017.446
7	north.east	734	584.426
7	yorkshire.humber	909	627.728
8	wales	609	1407.164
8	london	1146.5	1385.513
8	south.west	659	1623.674
8	south.east	659	1623.674
8	east.england	1021.5	1169.003
8	west.midlands	696.5	952.493
8	east.midlands	996.5	952.493
8	north.west	621.5	995.795
8	north.east	759	584.426
8	yorkshire.humber	884	627.728
9	wales	621.5	1385.513
9	london	1171.5	1385.513
9	south.west	646.5	1602.023
9	south.east	646.5	1602.023
9	east.england	996.5	1169.003
9	west.midlands	721.5	952.493
9	east.midlands	984	974.144
9	north.west	646.5	995.795
9	north.east	771.5	606.077
9	yorkshire.humber	871.5	649.379
10	wales	609	1363.862
10	london	1184	1407.164
10	south.west	659	1580.372
10	south.east	659	1580.372
10	east.england	984	1190.654
10	west.midlands	734	974.144
10	east.midlands	959	974.144
10	north.west	659	974.144
10	north.east	796.5	606.077
10	yorkshire.humber	846.5	649.379
11	wales	621.5	1342.211
11	london	1209	1407.164
11	south.west	646.5	1558.721
11	south.east	646.5	1558.721
11	east.england	959	1190.654
11	west.midlands	759	974.144
11	east.midlands	946.5	995.795
11	north.west	684	974.144
11	north.east	809	627.728
11	yorkshire.humber	834	671.03
12	wales	609	1320.56
12	london	1221.5	1428.815
12	south.west	659	1537.07
12	south.east	659	1537.07
12	east.england	946.5	1212.305
12	west.midlands	771.5	952.493
12	east.midlands	921.5	995.795
12	north.west	696.5	952.493
12	north.east	834	627.728
12	yorkshire.humber	846.5	692.681
13	wales	584	1320.56
13	london	1246.5	1428.815
13	south.west	684	1537.07
13	south.east	684	1537.07
13	east.england	921.5	1212.305
13	west.midlands	796.5	952.493
13	east.midlands	909	974.144
13	north.west	721.5	952.493
13	north.east	846.5	649.379
13	yorkshire.humber	834	714.332
14	wales	571.5	1298.909
14	london	1259	1450.466
14	south.west	696.5	1515.419
14	south.east	696.5	1515.419
14	east.england	909	1233.956
14	west.midlands	809	974.144
14	east.midlands	884	974.144
14	north.west	734	974.144
14	north.east	871.5	649.379
14	yorkshire.humber	846.5	735.983
15	wales	584	1277.258
15	london	1284	1450.466
15	south.west	684	1493.768
15	south.east	684	1493.768
15	east.england	884	1233.956
15	west.midlands	834	974.144
15	east.midlands	871.5	952.493
15	north.west	759	974.144
15	north.east	884	627.728
15	yorkshire.humber	834	757.634
16	wales	571.5	1255.607
16	london	1296.5	1472.117
16	south.west	696.5	1472.117
16	south.east	696.5	1472.117
16	east.england	871.5	1255.607
16	west.midlands	846.5	995.795
16	east.midlands	846.5	952.493
16	north.west	771.5	952.493
16	north.east	909	627.728
16	yorkshire.humber	846.5	779.285
17	wales	584	1233.956
17	london	1284	1493.768
17	south.west	684	1450.466
17	south.east	684	1450.466
17	east.england	846.5	1255.607
17	west.midlands	834	1017.446
17	east.midlands	834	974.144
17	north.west	796.5	952.493
17	north.east	921.5	649.379
17	yorkshire.humber	834	800.936
18	wales	571.5	1212.305
18	london	1296.5	1515.419
18	south.west	696.5	1428.815
18	south.east	696.5	1428.815
18	east.england	834	1277.258
18	west.midlands	846.5	1039.097
18	east.midlands	846.5	995.795
18	north.west	809	974.144
18	north.east	946.5	649.379
18	yorkshire.humber	846.5	822.587
19	wales	584	1190.654
19	london	1284	1537.07
19	south.west	684	1407.164
19	south.east	684	1407.164
19	east.england	846.5	1298.909
19	west.midlands	834	1060.748
19	east.midlands	834	1017.446
19	north.west	834	974.144
19	north.east	959	671.03
19	yorkshire.humber	834	844.238
20	wales	571.5	1169.003
20	london	1259	1537.07
20	south.west	659	1407.164
20	south.east	696.5	1385.513
20	east.england	834	1320.56
20	west.midlands	846.5	1082.399
20	east.midlands	846.5	1039.097
20	north.west	846.5	952.493
20	north.east	984	671.03
20	yorkshire.humber	846.5	865.889
21	wales	584	1147.352
21	london	1246.5	1558.721
21	south.west	646.5	1428.815
21	south.east	721.5	1385.513
21	east.england	809	1320.56
21	west.midlands	834	1104.05
21	east.midlands	834	1060.748
21	north.west	834	930.842
21	north.east	996.5	649.379
21	yorkshire.humber	834	887.54
22	wales	571.5	1125.701
22	london	1221.5	1558.721
22	south.west	621.5	1428.815
22	south.east	734	1363.862
22	east.england	796.5	1342.211
22	west.midlands	846.5	1125.701
22	east.midlands	846.5	1082.399
22	north.west	846.5	909.191
22	north.east	1021.5	649.379
22	yorkshire.humber	846.5	909.191
23	wales	584	1104.05
23	london	1209	1580.372
23	south.west	609	1450.466
23	south.east	759	1363.862
23	east.england	809	1363.862
23	west.midlands	834	1147.352
23	east.midlands	834	1104.05
23	north.west	834	887.54
23	yorkshire.humber	834	930.842
24	wales	571.5	1082.399
24	london	1184	1580.372
24	south.west	584	1450.466
24	south.east	771.5	1342.211
24	east.england	796.5	1385.513
24	west.midlands	846.5	1169.003
24	east.midlands	846.5	1125.701
24	north.west	846.5	865.889
24	yorkshire.humber	846.5	952.493
25	wales	584	1060.748
25	london	1171.5	1602.023
25	south.west	571.5	1472.117
25	south.east	796.5	1342.211
25	east.england	809	1407.164
25	west.midlands	834	1190.654
25	east.midlands	834	1147.352
25	north.west	834	844.238
25	yorkshire.humber	871.5	952.493
26	wales	571.5	1039.097
26	london	1146.5	1602.023
26	south.west	584	1493.768
26	south.east	809	1363.862
26	east.england	834	1407.164
26	west.midlands	809	1190.654
26	east.midlands	846.5	1169.003
26	north.west	846.5	822.587
26	yorkshire.humber	884	974.144
27	wales	546.5	1039.097
27	london	1134	1623.674
27	south.west	571.5	1515.419
27	south.east	796.5	1385.513
27	east.england	846.5	1385.513
27	west.midlands	796.5	1212.305
27	east.midlands	834	1190.654
27	north.west	834	800.936
27	yorkshire.humber	909	974.144
28	wales	534	1017.446
28	london	1109	1623.674
28	south.west	546.5	1515.419
28	south.east	809	1407.164
28	east.england	871.5	1385.513
28	west.midlands	809	1233.956
28	east.midlands	809	1190.654
28	north.west	846.5	779.285
28	yorkshire.humber	921.5	995.795
29	wales	509	1017.446
29	london	1096.5	1645.325
29	south.east	834	1407.164
29	east.england	884	1363.862
29	west.midlands	796.5	1255.607
29	east.midlands	796.5	1212.305
29	north.west	834	757.634
29	yorkshire.humber	946.5	995.795
30	wales	496.5	1039.097
30	london	1071.5	1645.325
30	south.east	846.5	1428.815
30	east.england	909	1363.862
30	west.midlands	809	1277.258
30	east.midlands	809	1233.956
30	north.west	846.5	735.983
30	yorkshire.humber	959	974.144
31	london	1059	1666.976
31	south.east	834	1450.466
31	east.england	921.5	1342.211
31	west.midlands	796.5	1298.909
31	east.midlands	796.5	1255.607
31	north.west	834	714.332
31	yorkshire.humber	984	974.144
32	london	1034	1666.976
32	south.east	809	1450.466
32	east.england	946.5	1342.211
32	west.midlands	771.5	1298.909
32	east.midlands	809	1277.258
32	north.west	846.5	692.681
32	yorkshire.humber	996.5	952.493
33	london	1021.5	1688.627
33	south.east	796.5	1472.117
33	east.england	959	1320.56
33	west.midlands	759	1320.56
33	east.midlands	796.5	1298.909
33	north.west	834	671.03
33	yorkshire.humber	1021.5	952.493
34	london	996.5	1688.627
34	south.east	809	1493.768
34	east.england	984	1320.56
34	west.midlands	771.5	1342.211
34	east.midlands	771.5	1298.909
34	north.west	846.5	649.379
34	yorkshire.humber	1034	974.144
35	london	984	1666.976
35	south.east	796.5	1515.419
35	east.england	996.5	1298.909
35	west.midlands	759	1363.862
35	east.midlands	759	1320.56
35	north.west	834	627.728
35	yorkshire.humber	1059	974.144
36	london	959	1666.976
36	south.east	809	1537.07
36	east.england	1021.5	1298.909
36	west.midlands	734	1363.862
36	east.midlands	771.5	1342.211
36	north.west	809	627.728
36	yorkshire.humber	1071.5	995.795
37	london	946.5	1645.325
37	south.east	834	1537.07
37	east.england	1034	1320.56
37	west.midlands	721.5	1385.513
37	east.midlands	796.5	1342.211
37	north.west	796.5	606.077
37	yorkshire.humber	1096.5	995.795
38	london	921.5	1645.325
38	south.east	846.5	1558.721
38	east.england	1059	1320.56
38	west.midlands	696.5	1385.513
38	east.midlands	809	1320.56
38	north.west	771.5	606.077
38	yorkshire.humber	1109	1017.446
39	london	909	1623.674
39	south.east	834	1580.372
39	east.england	1071.5	1342.211
39	west.midlands	684	1407.164
39	east.midlands	834	1320.56
39	north.west	759	584.426
39	yorkshire.humber	1134	1017.446
40	london	884	1623.674
40	south.east	846.5	1602.023
40	east.england	1096.5	1342.211
40	west.midlands	659	1407.164
40	east.midlands	846.5	1298.909
40	north.west	734	584.426
41	london	871.5	1645.325
41	south.east	834	1623.674
41	east.england	1109	1363.862
41	west.midlands	646.5	1428.815
41	east.midlands	834	1277.258
41	north.west	721.5	562.775
42	london	846.5	1645.325
42	south.east	846.5	1645.325
42	east.england	1134	1363.862
42	west.midlands	621.5	1428.815
42	east.midlands	846.5	1255.607
42	north.west	734	541.124
43	london	834	1623.674
43	south.east	871.5	1645.325
43	east.england	1146.5	1385.513
43	west.midlands	609	1407.164
43	east.midlands	871.5	1255.607
43	north.west	721.5	519.473
44	london	846.5	1602.023
44	south.east	884	1623.674
44	east.england	1171.5	1385.513
44	west.midlands	621.5	1385.513
44	east.midlands	884	1233.956
44	north.west	696.5	519.473
45	london	834	1580.372
45	south.east	909	1623.674
45	east.england	1184	1407.164
45	west.midlands	609	1363.862
45	east.midlands	909	1233.956
45	north.west	684	541.124
46	london	846.5	1558.721
46	south.east	921.5	1645.325
46	east.england	1209	1407.164
46	west.midlands	621.5	1342.211
46	east.midlands	921.5	1212.305
46	north.west	659	541.124
47	london	834	1537.07
47	south.east	946.5	1645.325
47	east.england	1221.5	1428.815
47	west.midlands	609	1320.56
47	east.midlands	946.5	1212.305
48	london	809	1537.07
48	south.east	959	1666.976
48	east.england	1246.5	1428.815
48	west.midlands	584	1320.56
48	east.midlands	959	1190.654
49	london	796.5	1515.419
49	south.east	984	1666.976
49	east.england	1259	1450.466
49	west.midlands	571.5	1298.909
49	east.midlands	984	1190.654
50	london	809	1493.768
50	south.east	996.5	1688.627
50	east.england	1284	1450.466
50	west.midlands	584	1277.258
50	east.midlands	996.5	1169.003
51	london	796.5	1472.117
51	south.east	1021.5	1688.627
51	east.england	1296.5	1472.117
51	west.midlands	571.5	1255.607
51	east.midlands	1021.5	1169.003
52	london	809	1450.466
52	south.east	1034	1666.976
52	east.england	1284	1493.768
52	west.midlands	584	1233.956
52	east.midlands	1034	1190.654
53	london	834	1450.466
53	south.east	1059	1666.976
53	east.england	1296.5	1515.419
53	west.midlands	571.5	1212.305
53	east.midlands	1059	1190.654
54	london	846.5	1428.815
54	south.east	1071.5	1645.325
54	east.england	1321.5	1515.419
54	west.midlands	584	1190.654
54	east.midlands	1071.5	1212.305
55	london	834	1407.164
55	south.east	1096.5	1645.325
55	west.midlands	571.5	1169.003
55	east.midlands	1096.5	1212.305
56	london	846.5	1385.513
56	south.east	1109	1623.674
56	west.midlands	584	1147.352
56	east.midlands	1109	1190.654
57	london	871.5	1385.513
57	south.east	1134	1623.674
57	west.midlands	571.5	1125.701
57	east.midlands	1134	1190.654
58	london	884	1363.862
58	south.east	1146.5	1602.023
58	west.midlands	584	1104.05
58	east.midlands	1146.5	1169.003
59	london	909	1363.862
59	south.east	1171.5	1602.023
59	west.midlands	571.5	1082.399
60	london	921.5	1342.211
60	south.east	1184	1580.372
60	west.midlands	584	1060.748
61	london	946.5	1342.211
61	south.east	1209	1580.372
61	west.midlands	571.5	1039.097
62	london	959	1320.56
62	south.east	1221.5	1558.721
63	london	984	1320.56
63	south.east	1246.5	1558.721
64	london	996.5	1298.909
64	south.east	1259	1537.07
65	london	1021.5	1298.909
65	south.east	1284	1537.07
66	south.east	1296.5	1515.419
67	south.east	1321.5	1515.419
