Constituency	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6
Aberdeen North	734	151.406	721.5	129.755	696.5	129.755	684	151.406	696.5	173.057	721.5	173.057
Aberdeen South	771.5	173.057	759	151.406	734	151.406	721.5	173.057	734	194.708	759	194.708
West Aberdeenshire & Kincardine	696.5	173.057	684	151.406	659	151.406	646.5	173.057	659	194.708	684	194.708
Airdrie & Shotts	659	367.916	646.5	346.265	621.5	346.265	609	367.916	621.5	389.567	646.5	389.567
Angus	734	194.708	721.5	173.057	696.5	173.057	684	194.708	696.5	216.359	721.5	216.359
Argyll & Bute	546.5	216.359	534	194.708	509	194.708	496.5	216.359	509	238.01	534	238.01
Ayr, Carrick & Cumnock	584	497.822	571.5	476.171	546.5	476.171	534	497.822	546.5	519.473	571.5	519.473
Central Ayrshire	546.5	476.171	534	454.52	509	454.52	496.5	476.171	509	497.822	534	497.822
North Ayrshire & Arran	546.5	432.869	534	411.218	509	411.218	496.5	432.869	509	454.52	534	454.52
Banff & Buchan	696.5	129.755	684	108.104	659	108.104	646.5	129.755	659	151.406	684	151.406
Berwickshire, Roxburgh & Selkirk	734	454.52	721.5	432.869	696.5	432.869	684	454.52	696.5	476.171	721.5	476.171
Caithness, Sutherland & Easter Ross	584	108.104	571.5	86.453	546.5	86.453	534	108.104	546.5	129.755	571.5	129.755
Coatbridge, Chryston & Bellshill	621.5	389.567	609	367.916	584	367.916	571.5	389.567	584	411.218	609	411.218
Cumbernauld, Kilsyth & Kirkintilloch East	621.5	259.661	609	238.01	584	238.01	571.5	259.661	584	281.312	609	281.312
Dumfries & Galloway	621.5	519.473	609	497.822	584	497.822	571.5	519.473	584	541.124	609	541.124
Dumfriesshire, Clydesdale & Tweeddale	696.5	519.473	684	497.822	659	497.822	646.5	519.473	659	541.124	684	541.124
East Dunbartonshire	584	281.312	571.5	259.661	546.5	259.661	534	281.312	546.5	302.963	571.5	302.963
West Dunbartonshire	584	238.01	571.5	216.359	546.5	216.359	534	238.01	546.5	259.661	571.5	259.661
Dundee East	696.5	216.359	684	194.708	659	194.708	646.5	216.359	659	238.01	684	238.01
Dundee West	734	238.01	721.5	216.359	696.5	216.359	684	238.01	696.5	259.661	721.5	259.661
Dunfermline & West Fife	696.5	259.661	684	238.01	659	238.01	646.5	259.661	659	281.312	684	281.312
East Kilbride, Strathaven & Lesmahagow	584	454.52	571.5	432.869	546.5	432.869	534	454.52	546.5	476.171	571.5	476.171
East Lothian	771.5	389.567	759	367.916	734	367.916	721.5	389.567	734	411.218	759	411.218
Edinburgh East	734	367.916	721.5	346.265	696.5	346.265	684	367.916	696.5	389.567	721.5	389.567
Edinburgh North & Leith	734	411.218	721.5	389.567	696.5	389.567	684	411.218	696.5	432.869	721.5	432.869
Edinburgh South	696.5	432.869	684	411.218	659	411.218	646.5	432.869	659	454.52	684	454.52
Edinburgh South West	696.5	389.567	684	367.916	659	367.916	646.5	389.567	659	411.218	684	411.218
Edinburgh West	696.5	346.265	684	324.614	659	324.614	646.5	346.265	659	367.916	684	367.916
Falkirk	659	281.312	646.5	259.661	621.5	259.661	609	281.312	621.5	302.963	646.5	302.963
North East Fife	771.5	259.661	759	238.01	734	238.01	721.5	259.661	734	281.312	759	281.312
Glasgow Central	584	367.916	571.5	346.265	546.5	346.265	534	367.916	546.5	389.567	571.5	389.567
Glasgow East	621.5	346.265	609	324.614	584	324.614	571.5	346.265	584	367.916	609	367.916
Glasgow North	584	324.614	571.5	302.963	546.5	302.963	534	324.614	546.5	346.265	571.5	346.265
Glasgow North East	621.5	302.963	609	281.312	584	281.312	571.5	302.963	584	324.614	609	324.614
Glasgow North West	546.5	302.963	534	281.312	509	281.312	496.5	302.963	509	324.614	534	324.614
Glasgow South	621.5	432.869	609	411.218	584	411.218	571.5	432.869	584	454.52	609	454.52
Glasgow South West	546.5	346.265	534	324.614	509	324.614	496.5	346.265	509	367.916	534	367.916
Glenrothes	734	281.312	721.5	259.661	696.5	259.661	684	281.312	696.5	302.963	721.5	302.963
Gordon	659	151.406	646.5	129.755	621.5	129.755	609	151.406	621.5	173.057	646.5	173.057
Inverclyde	509	324.614	496.5	302.963	471.5	302.963	459	324.614	471.5	346.265	496.5	346.265
Inverness, Nairn, Badenoch & Strathspey	621.5	173.057	609	151.406	584	151.406	571.5	173.057	584	194.708	609	194.708
Kilmarnock & Loudoun	621.5	476.171	609	454.52	584	454.52	571.5	476.171	584	497.822	609	497.822
Kirkcaldy & Cowdenbeath	696.5	302.963	684	281.312	659	281.312	646.5	302.963	659	324.614	684	324.614
Lanark & Hamilton East	659	454.52	646.5	432.869	621.5	432.869	609	454.52	621.5	476.171	646.5	476.171
Linlithgow & East Falkirk	659	324.614	646.5	302.963	621.5	302.963	609	324.614	621.5	346.265	646.5	346.265
Livingston	696.5	476.171	684	454.52	659	454.52	646.5	476.171	659	497.822	684	497.822
Midlothian	734	497.822	721.5	476.171	696.5	476.171	684	497.822	696.5	519.473	721.5	519.473
Moray	659	194.708	646.5	173.057	621.5	173.057	609	194.708	621.5	216.359	646.5	216.359
Motherwell & Wishaw	659	411.218	646.5	389.567	621.5	389.567	609	411.218	621.5	432.869	646.5	432.869
Na h-Eileanan an Iar	509	151.406	496.5	129.755	471.5	129.755	459	151.406	471.5	173.057	496.5	173.057
Ochil & South Perthshire	659	238.01	646.5	216.359	621.5	216.359	609	238.01	621.5	259.661	646.5	259.661
Orkney & Shetland	696.5	43.151	684	21.5	659	21.5	646.5	43.151	659	64.802	684	64.802
Paisley & Renfrewshire North	546.5	259.661	534	238.01	509	238.01	496.5	259.661	509	281.312	534	281.312
Paisley & Renfrewshire South	546.5	389.567	534	367.916	509	367.916	496.5	389.567	509	411.218	534	411.218
Perth & North Perthshire	621.5	216.359	609	194.708	584	194.708	571.5	216.359	584	238.01	609	238.01
East Renfrewshire	584	411.218	571.5	389.567	546.5	389.567	534	411.218	546.5	432.869	571.5	432.869
Ross, Skye & Lochaber	584	151.406	571.5	129.755	546.5	129.755	534	151.406	546.5	173.057	571.5	173.057
Rutherglen & Hamilton West	659	497.822	646.5	476.171	621.5	476.171	609	497.822	621.5	519.473	646.5	519.473
Stirling	584	194.708	571.5	173.057	546.5	173.057	534	194.708	546.5	216.359	571.5	216.359
