Constituency	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6
Aberavon	471.5	1428.815	459	1407.164	434	1407.164	421.5	1428.815	434	1450.466	459	1450.466
Aberconwy	509	1104.05	496.5	1082.399	471.5	1082.399	459	1104.05	471.5	1125.701	496.5	1125.701
Aberdeen North	734	151.406	721.5	129.755	696.5	129.755	684	151.406	696.5	173.057	721.5	173.057
Aberdeen South	771.5	173.057	759	151.406	734	151.406	721.5	173.057	734	194.708	759	194.708
Aberdeenshire West & Kincardine	696.5	173.057	684	151.406	659	151.406	646.5	173.057	659	194.708	684	194.708
Airdrie & Shotts	659	367.916	646.5	346.265	621.5	346.265	609	367.916	621.5	389.567	646.5	389.567
Aldershot	771.5	1688.627	759	1666.976	734	1666.976	721.5	1688.627	734	1710.278	759	1710.278
Aldridge-Brownhills	809	1060.748	796.5	1039.097	771.5	1039.097	759	1060.748	771.5	1082.399	796.5	1082.399
Altrincham & Sale West	734	887.54	721.5	865.889	696.5	865.889	684	887.54	696.5	909.191	721.5	909.191
Alyn & Deeside	584	1060.748	571.5	1039.097	546.5	1039.097	534	1060.748	546.5	1082.399	571.5	1082.399
Amber Valley	959	1060.748	946.5	1039.097	921.5	1039.097	909	1060.748	921.5	1082.399	946.5	1082.399
Angus	734	194.708	721.5	173.057	696.5	173.057	684	194.708	696.5	216.359	721.5	216.359
Antrim East	209	671.03	196.5	649.379	171.5	649.379	159	671.03	171.5	692.681	196.5	692.681
Antrim North	171.5	649.379	159	627.728	134	627.728	121.5	649.379	134	671.03	159	671.03
Arfon	134	671.03	121.5	649.379	96.5	649.379	84	671.03	96.5	692.681	121.5	692.681
Argyll & Bute	471.5	1125.701	459	1104.05	434	1104.05	421.5	1125.701	434	1147.352	459	1147.352
Arundel & South Downs	546.5	216.359	534	194.708	509	194.708	496.5	216.359	509	238.01	534	238.01
Ashfield	1071.5	1688.627	1059	1666.976	1034	1666.976	1021.5	1688.627	1034	1710.278	1059	1710.278
Ashford	996.5	1039.097	984	1017.446	959	1017.446	946.5	1039.097	959	1060.748	984	1060.748
Ashton Under Lyne	1296.5	1645.325	1284	1623.674	1259	1623.674	1246.5	1645.325	1259	1666.976	1284	1666.976
Aylesbury	809	800.936	796.5	779.285	771.5	779.285	759	800.936	771.5	822.587	796.5	822.587
Ayr, Carrick & Cumnock	734	1493.768	721.5	1472.117	696.5	1472.117	684	1493.768	696.5	1515.419	721.5	1515.419
Ayrshire Central	584	497.822	571.5	476.171	546.5	476.171	534	497.822	546.5	519.473	571.5	519.473
Ayrshire North & Arran	546.5	476.171	534	454.52	509	454.52	496.5	476.171	509	497.822	534	497.822
Banbury	546.5	432.869	534	411.218	509	411.218	496.5	432.869	509	454.52	534	454.52
Banff & Buchan	734	1407.164	721.5	1385.513	696.5	1385.513	684	1407.164	696.5	1428.815	721.5	1428.815
Barking	696.5	129.755	684	108.104	659	108.104	646.5	129.755	659	151.406	684	151.406
